season,week,week_text,player_id,player_uid,player_guid,name_first,name_last,name_display,name_short,age,team_name,team_short_name,slug,team_id,team_uid,qbr_total,pts_added,qb_plays,epa_total,pass,run,exp_sack,penalty,qbr_raw,sack,headshot_href,week_type,game_id,game_date,player_home_away,score,opp_team_id,opp_team_name,opp_team_short_name
2006,NA,Season Level,159846,s:20~l:23~a:159846,5eafbaa789670f3d8be87a9e8080aa83,Pat,White,Pat White,P. White,23,Mountaineers,WVU,pat-white,277,s:20~l:23~t:277,90.5,72.9,370,76.1,37.7,45,-6.1,1.2,88.6,-7.6,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006,NA,Season Level,145275,s:20~l:23~a:145275,ad326006f10fbaa668f31e6a4eefda8d,Colt,Brennan,Colt Brennan,C. Brennan,25,Rainbow Warriors,HAW,colt-brennan,62,s:20~l:23~t:62,85.8,126.4,690,127.5,125.2,15.4,-12.3,1.3,87,-14.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006,NA,Season Level,148066,s:20~l:23~a:148066,395352b5282afb79a4e3712a4fb4fbc7,John,Beck,John Beck,J. Beck,27,Cougars,BYU,john-beck,252,s:20~l:23~t:252,83.4,66.5,517,72.7,80.7,0,-8.4,1.6,79.2,-9.7,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006,NA,Season Level,146755,s:20~l:23~a:146755,35a9c3f020cecde1433aa0b663eb1383,JaMarcus,Russell,JaMarcus Russell,J. Russell,23,Tigers,LSU,jamarcus-russell,99,s:20~l:23~t:99,82.1,47,428,54.7,65.2,1.3,-9.7,0.1,75.8,-11.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006,NA,Season Level,133648,s:20~l:23~a:133648,678c35f30cc2f77002f17087fb8fbccc,Troy,Smith,Troy Smith,T. Smith,24,Buckeyes,OSU,troy-smith,194,s:20~l:23~t:194,82,46.7,414,54,62.7,3,-9.3,-0.5,76.4,-11.2,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006,NA,Season Level,164609,s:20~l:23~a:164609,6c59128b58bb37bc74d0c14e528437c6,Brian,Brohm,Brian Brohm,B. Brohm,23,Cardinals,LOU,brian-brohm,97,s:20~l:23~t:97,79.7,43,390,51.1,61.1,-1.1,-9.2,1.2,75.9,-10.1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006,NA,Season Level,161062,s:20~l:23~a:161062,1929d00fd8fe7d84b88299a4f87daade,Erik,Ainge,Erik Ainge,E. Ainge,22,Volunteers,TENN,erik-ainge,2633,s:20~l:23~t:2633,79.3,40.3,401,55.5,66.5,-2.4,-8.6,0.7,74,-9.2,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006,NA,Season Level,145168,s:20~l:23~a:145168,c75bef252d3f439feeec9b8e63b35116,John David,Booty,John David Booty,J. Booty,24,Trojans,USC,john-david-booty,30,s:20~l:23~t:30,77.7,33,527,50.6,62,-3.1,-7.6,-0.1,65.7,-8.3,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006,NA,Season Level,163360,s:20~l:23~a:163360,1c16d71a2316940afc20a8b05bbd00c6,Nate,Longshore,Nate Longshore,N. Longshore,23,Golden Bears,CAL,nate-longshore,25,s:20~l:23~t:25,74.8,32.7,445,43.7,50.8,-0.6,-6.5,1.5,68.2,-8.1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006,NA,Season Level,150329,s:20~l:23~a:150329,28b64d2c0a09417a70b4e4feb6b7670c,Brady,Quinn,Brady Quinn,B. Quinn,29,Fighting Irish,ND,brady-quinn,87,s:20~l:23~t:87,73.9,42.4,595,54.6,59.9,10.6,-15.1,-0.7,67.7,-15.3,NA,NA,NA,NA,NA,NA,NA,NA,NA
